,name,artist_id,popularity,followers
0,Drake,3TVXtAsR1Inumwj472S9r4,97,69021028
1,Future,1RyvyyTE3xzB2ZywiAwp0i,87,12483569
2,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,78,8697921
3,Bad Bunny,4q3ewBCX7sLwd24euuV69X,97,59468514
4,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,89,105322954
5,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,80,28573844
6,Burna Boy,3wcj11K77LjEY1PkEazffa,79,3899958
7,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,93,52885058
8,Gesaffelstein,3hteYQFiMFbJY7wS0xDymP,74,461276
9,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,86,23023983
10,Taylor Swift,06HL4z0CvFAxyc27GXpf02,100,62572904
11,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,80,4090880
12,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,89,67640519
13,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,88,85056061
14,Jessie J,2gsggkzM5R49q6jpPvazou,71,10554546
15,Eminem,7dGJo4pcD2V6oG8kP0tJRR,90,61957032
16,Post Malone,246dkjvS1zLTtiykXe5h60,87,38827986
17,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,83,18360510
18,benny blanco,5CiGnKThu5ctn9pBxv7DGa,74,1009052
19,BTS,3Nrfpe0tUJi4K4DXYWgMUX,91,57756887
20,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,88,39942336
21,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,87,35845531
22,Jhayco,6nVcHLIgY5pE2YCl8ubca1,82,197931
23,Cardi B,4kYSro6naA4h99UJvo89HB,80,20676964
24,Nio Garcia,5hdhHgpxyniooUiQVaPxQ0,72,3978099
25,Polimá Westcoast,768O5GliF0bqscyghggrbE,76,373462
26,Sech,77ziqFxp5gaInVrF2lj4ht,82,11335751
27,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,88,34378316
28,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,90,18717541
29,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,83,7763062
30,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,88,72176384
31,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,88,26508856
32,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,79,19666586
33,Calvin Harris,7CajNmpbOovFoOoasH2HaY,83,22974585
34,Elton John,3PhoLpVuITZKcymswpck5b,83,10431804
35,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,87,37295363
36,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,79,7239504
37,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,80,19023693
38,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,87,43487897
