,name,artist_id
0,Drake,3TVXtAsR1Inumwj472S9r4
1,Future,1RyvyyTE3xzB2ZywiAwp0i
2,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP
3,Bad Bunny,4q3ewBCX7sLwd24euuV69X
4,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V
5,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF
6,Burna Boy,3wcj11K77LjEY1PkEazffa
7,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
8,Gesaffelstein,3hteYQFiMFbJY7wS0xDymP
9,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
10,Taylor Swift,06HL4z0CvFAxyc27GXpf02
11,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J
12,Justin Bieber,1uNFoZAHBGtllmzznpCI3s
13,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
14,Jessie J,2gsggkzM5R49q6jpPvazou
15,Eminem,7dGJo4pcD2V6oG8kP0tJRR
16,Post Malone,246dkjvS1zLTtiykXe5h60
17,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7
18,benny blanco,5CiGnKThu5ctn9pBxv7DGa
19,BTS,3Nrfpe0tUJi4K4DXYWgMUX
20,Coldplay,4gzpq5DPGxSnKTe4SA8HAU
21,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5
22,Jhayco,6nVcHLIgY5pE2YCl8ubca1
23,Cardi B,4kYSro6naA4h99UJvo89HB
24,Nio Garcia,5hdhHgpxyniooUiQVaPxQ0
25,Polimá Westcoast,768O5GliF0bqscyghggrbE
26,Sech,77ziqFxp5gaInVrF2lj4ht
27,Ozuna,1i8SpTcr7yvPOmcqrbnVXY
28,Kanye West,5K4W6rqBFWDnAN6FQUkS6x
29,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB
30,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
31,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz
