name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,days_since,liveness_speechiness_feat,danceability_speechiness_feat,length_speechiness_feat,instrumentalness_time_signature_feat,length_tempo_feat
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,218364,91,0.529,0.000307,0.6729999999999999,2.41e-06,0.09300000000000001,-4.711,0.175,165.921,4,119,2.0,2.0,2.0,2.0,2.0
WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,189893,90,0.46299999999999997,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4,168,2.0,2.0,2.0,2.0,2.0
One Dance,Views,Drake,2016-05-06,173986,86,0.792,0.0077599999999999995,0.625,0.0018,0.32899999999999996,-5.609,0.0536,103.96700000000001,4,2352,2.0,2.0,2.0,2.0,2.0
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,242965,85,0.8490000000000001,0.0635,0.424,0.0,0.0834,-9.579,0.324,145.887,4,406,2.0,2.0,2.0,2.0,2.0
God's Plan,Scorpion,Drake,2018-06-29,198973,85,0.754,0.0332,0.449,8.290000000000001e-05,0.552,-9.211,0.109,77.169,4,1568,2.0,2.0,2.0,2.0,2.0
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,192956,84,0.578,0.0618,0.449,2.17e-06,0.11900000000000001,-6.349,0.28600000000000003,136.006,4,588,2.0,2.0,2.0,2.0,2.0
Passionfruit,More Life,Drake,2017-03-18,298940,84,0.809,0.256,0.46299999999999997,0.085,0.109,-11.377,0.0396,111.98,4,2036,2.0,2.0,2.0,2.0,2.0
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,291175,84,0.6659999999999999,0.0503,0.465,0.0,0.215,-8.545,0.26,167.937,4,406,2.0,2.0,2.0,2.0,2.0
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,2020-05-01,220487,84,0.735,0.629,0.449,0.0,0.113,-7.507000000000001,0.34700000000000003,122.947,4,896,2.0,2.0,2.0,2.0,2.0
STAYING ALIVE (feat. Drake & Lil Baby),GOD DID,DJ Khaled,2022-08-26,178176,79,0.677,0.0668,0.495,0.0,0.319,-7.1739999999999995,0.0821,129.974,4,49,2.0,2.0,2.0,2.0,2.0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,178567,98,0.9109999999999999,0.0901,0.7120000000000001,2.68e-05,0.0933,-5.105,0.0817,92.005,4,161,3.0,3.0,3.0,2.0,2.0
Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,243716,98,0.65,0.0993,0.715,0.000291,0.126,-5.1979999999999995,0.253,106.67200000000001,4,161,3.0,3.0,3.0,2.0,2.0
Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,213061,96,0.8009999999999999,0.141,0.475,1.73e-05,0.0639,-8.797,0.0516,98.04700000000001,4,161,3.0,3.0,3.0,2.0,2.0
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,258298,95,0.647,0.08,0.6859999999999999,1.34e-06,0.528,-5.745,0.0413,79.928,4,161,3.0,3.0,3.0,2.0,2.0
Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,245939,94,0.804,0.294,0.674,1.18e-06,0.115,-5.452999999999999,0.0333,99.96799999999999,4,161,3.0,3.0,3.0,2.0,2.0
Neverita,Un Verano Sin Ti,Bad Bunny,2022-05-06,173119,94,0.8759999999999999,0.0706,0.498,0.0,0.14300000000000002,-7.511,0.0478,122.016,4,161,3.0,3.0,3.0,2.0,2.0
Tarot,Un Verano Sin Ti,Bad Bunny,2022-05-06,237894,92,0.795,0.0225,0.684,0.0,0.6579999999999999,-3.971,0.0419,114.01100000000001,4,161,3.0,3.0,3.0,2.0,2.0
Party,Un Verano Sin Ti,Bad Bunny,2022-05-06,227628,91,0.8290000000000001,0.0151,0.799,0.000543,0.242,-5.388999999999999,0.0897,97.01299999999999,4,161,3.0,3.0,3.0,2.0,2.0
La Corriente,Un Verano Sin Ti,Bad Bunny,2022-05-06,198367,91,0.6629999999999999,0.22899999999999998,0.7859999999999999,0.0,0.21899999999999997,-3.51,0.195,196.12,4,161,3.0,3.0,3.0,2.0,2.0
Después de la Playa,Un Verano Sin Ti,Bad Bunny,2022-05-06,230400,89,0.564,0.35600000000000004,0.903,0.0,0.175,-3.221,0.307,78.293,4,161,3.0,3.0,3.0,2.0,2.0
Bad Habits,=,Ed Sheeran,2021-10-29,230746,89,0.807,0.0451,0.893,2.7899999999999997e-05,0.366,-3.745,0.0347,126.01100000000001,4,350,1.0,3.0,2.0,2.0,2.0
Shivers,=,Ed Sheeran,2021-10-29,207853,88,0.7879999999999999,0.281,0.8590000000000001,0.0,0.0424,-2.7239999999999998,0.0856,141.02,4,350,1.0,3.0,2.0,2.0,2.0
Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87,0.599,0.163,0.44799999999999995,0.0,0.106,-6.312,0.0232,95.05,3,2051,1.0,3.0,2.0,2.0,2.0
Bam Bam (feat. Ed Sheeran),Familia,Camila Cabello,2022-04-07,206070,82,0.7559999999999999,0.182,0.6970000000000001,0.0,0.33299999999999996,-6.377000000000001,0.0401,94.99600000000001,4,190,1.0,3.0,2.0,2.0,2.0
