const,loudness,tempo,imputed_album_avg_pop_other,danceability_speechiness_feat_3.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_999.0,days_since_log,popularity_meta_album_avg_pop_other
1.0,-7.174,129.974,0,0,0,1,0,1,0,3.8918407060656484,5850.0
1.0,-1.248,123.038,1,1,0,1,0,1,0,2.7081168655467533,6771.416666666666
1.0,-4.898,101.058,0,1,0,1,0,1,0,2.079566533867987,5129.4
1.0,-3.963,97.009,1,0,1,0,1,0,1,3.135537693244867,6612.0
1.0,-7.07,124.001,1,1,0,1,0,1,0,3.0445700556372914,6375.0
1.0,-3.673,128.04,1,1,0,1,0,1,0,3.8918407060656484,6233.333333333333
1.0,-7.375,131.121,1,0,0,1,0,1,0,3.0910879068707438,6985.0
1.0,-6.729,171.882,0,0,0,1,0,1,0,3.8918407060656484,5881.200000000001
1.0,-2.565,133.014,1,0,0,1,0,1,0,3.8918407060656484,6392.0
1.0,-4.465,132.982,1,0,0,1,0,1,0,3.5553766325098297,6545.0
1.0,-2.567,133.002,1,0,0,1,0,1,0,4.043068811540308,6562.0
1.0,-4.0760000000000005,172.014,1,1,0,1,0,1,0,3.9120430052281487,6474.571428571429
1.0,-6.2029999999999985,166.018,1,1,0,1,0,1,0,3.4012307144399454,6523.714285714286
1.0,-6.322,144.835,1,1,0,1,0,1,0,3.6376124751696053,6641.0
1.0,-3.439,120.024,1,0,0,1,0,1,0,2.7081168655467533,6183.5
1.0,-1.73,176.05900000000003,0,0,0,1,0,1,0,3.9120430052281487,4758.0
1.0,-5.399,83.01799999999999,1,0,0,1,0,1,0,-6.907755278982137,6453.400000000001
1.0,-5.994,106.015,1,1,0,1,0,1,0,3.5553766325098297,5602.416666666667
1.0,-0.722,106.972,1,1,0,1,0,1,0,3.0910879068707438,7090.333333333334
1.0,-10.899,72.062,1,0,0,1,0,1,0,3.806684711745632,7172.666666666667
1.0,-11.653,144.745,1,0,0,1,0,1,0,2.7081168655467533,7172.666666666667
1.0,-2.824,92.523,1,0,0,1,0,1,0,3.8918407060656484,6642.142857142857
1.0,-3.812,183.963,1,1,0,1,0,1,0,4.02536954771857,6017.166666666667
1.0,-6.009,94.98,1,1,0,1,0,1,0,3.5835467158480925,6451.2
1.0,-5.55,92.028,1,1,0,1,0,1,0,4.043068811540308,6484.8
1.0,-5.692,184.008,0,1,0,1,0,1,0,2.079566533867987,5278.8
