,name,album,artist,release_date,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,days_since,liveness_speechiness_feat,danceability_speechiness_feat,length_speechiness_feat,instrumentalness_time_signature_feat,length_tempo_feat,Unnamed: 0,artist_id,popularity_meta,followers,popularity_sum,popularity_count,popularity_sum_album,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other
0,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,218364,91,0.529,0.000307,0.6729999999999999,2.41e-06,0.093,-4.711,0.175,165.921,4,119,2.0,2.0,2.0,2.0,2.0,0.0,3TVXtAsR1Inumwj472S9r4,97.0,69021028.0,1214,15,91,1,80.21428571428571,80.21428571428571,1
1,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,189893,90,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4,168,2.0,2.0,2.0,2.0,2.0,1.0,1RyvyyTE3xzB2ZywiAwp0i,87.0,12483569.0,554,7,246,3,77.33333333333333,78.0,0
2,One Dance,Views,Drake,2016-05-06,173986,86,0.792,0.007759999999999999,0.625,0.0018,0.329,-5.609,0.0536,103.967,4,2352,2.0,2.0,2.0,2.0,2.0,0.0,3TVXtAsR1Inumwj472S9r4,97.0,69021028.0,1214,15,86,1,80.57142857142857,80.57142857142857,1
3,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,242965,85,0.8490000000000001,0.0635,0.424,0.0,0.0834,-9.579,0.324,145.887,4,406,2.0,2.0,2.0,2.0,2.0,0.0,3TVXtAsR1Inumwj472S9r4,97.0,69021028.0,1214,15,541,7,80.64285714285714,76.0,0
4,God's Plan,Scorpion,Drake,2018-06-29,198973,85,0.754,0.0332,0.449,8.290000000000001e-05,0.552,-9.211,0.109,77.169,4,1568,2.0,2.0,2.0,2.0,2.0,0.0,3TVXtAsR1Inumwj472S9r4,97.0,69021028.0,1214,15,85,1,80.64285714285714,80.64285714285714,1
5,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,192956,84,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.28600000000000003,136.006,4,588,2.0,2.0,2.0,2.0,2.0,0.0,3TVXtAsR1Inumwj472S9r4,97.0,69021028.0,1214,15,84,1,80.71428571428571,80.71428571428571,1
6,Passionfruit,More Life,Drake,2017-03-18,298940,84,0.809,0.256,0.463,0.085,0.109,-11.377,0.0396,111.98,4,2036,2.0,2.0,2.0,2.0,2.0,0.0,3TVXtAsR1Inumwj472S9r4,97.0,69021028.0,1214,15,84,1,80.71428571428571,80.71428571428571,1
7,Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,291175,84,0.6659999999999999,0.0503,0.465,0.0,0.215,-8.545,0.26,167.937,4,406,2.0,2.0,2.0,2.0,2.0,0.0,3TVXtAsR1Inumwj472S9r4,97.0,69021028.0,1214,15,541,7,80.71428571428571,76.16666666666667,0
8,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,2020-05-01,220487,84,0.735,0.629,0.449,0.0,0.113,-7.5070000000000014,0.34700000000000003,122.947,4,896,2.0,2.0,2.0,2.0,2.0,0.0,3TVXtAsR1Inumwj472S9r4,97.0,69021028.0,1214,15,84,1,80.71428571428571,80.71428571428571,1
9,STAYING ALIVE (feat. Drake & Lil Baby),GOD DID,DJ Khaled,2022-08-26,178176,79,0.677,0.0668,0.495,0.0,0.319,-7.174,0.0821,129.974,4,49,2.0,2.0,2.0,2.0,2.0,2.0,0QHgL1lAIqAw0HtD7YldmP,78.0,8697921.0,803,11,454,6,72.4,75.0,0
10,Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,178567,98,0.911,0.0901,0.7120000000000001,2.68e-05,0.0933,-5.105,0.0817,92.005,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,84.8,92.2,0
11,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,243716,98,0.65,0.0993,0.715,0.000291,0.126,-5.198,0.253,106.672,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,84.8,92.2,0
12,Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,213061,96,0.8009999999999999,0.141,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,84.9,92.4,0
13,Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,258298,95,0.647,0.08,0.6859999999999999,1.34e-06,0.528,-5.745,0.0413,79.928,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,84.95,92.5,0
14,Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,245939,94,0.804,0.294,0.674,1.18e-06,0.115,-5.4529999999999985,0.0333,99.968,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,85.0,92.6,0
15,Neverita,Un Verano Sin Ti,Bad Bunny,2022-05-06,173119,94,0.8759999999999999,0.0706,0.498,0.0,0.14300000000000002,-7.511,0.0478,122.016,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,85.0,92.6,0
16,Tarot,Un Verano Sin Ti,Bad Bunny,2022-05-06,237894,92,0.795,0.0225,0.684,0.0,0.6579999999999999,-3.971,0.0419,114.011,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,85.1,92.8,0
17,Party,Un Verano Sin Ti,Bad Bunny,2022-05-06,227628,91,0.8290000000000001,0.0151,0.799,0.000543,0.242,-5.3889999999999985,0.0897,97.013,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,85.15,92.9,0
18,La Corriente,Un Verano Sin Ti,Bad Bunny,2022-05-06,198367,91,0.6629999999999999,0.229,0.7859999999999999,0.0,0.219,-3.51,0.195,196.12,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,85.15,92.9,0
19,Después de la Playa,Un Verano Sin Ti,Bad Bunny,2022-05-06,230400,89,0.564,0.35600000000000004,0.903,0.0,0.175,-3.221,0.307,78.293,4,161,3.0,3.0,3.0,2.0,2.0,3.0,4q3ewBCX7sLwd24euuV69X,97.0,59468514.0,1794,21,1020,11,85.25,93.1,0
20,Bad Habits,=,Ed Sheeran,2021-10-29,230746,89,0.807,0.0451,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,4,350,1.0,3.0,2.0,2.0,2.0,4.0,6eUKZXaKkcviH0Ku9w2n3V,89.0,105322954.0,998,13,177,2,75.75,88.0,0
