,length,popularity_,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,days_since,popularity_meta,followers,popularity_count,popularity_count_album,artist_avg_pop_other,album_avg_pop_other,imputed_album_avg_pop_other,time_signature_3,time_signature_4,time_signature_5,liveness_speechiness_feat_2.0,liveness_speechiness_feat_3.0,liveness_speechiness_feat_999.0,danceability_speechiness_feat_3.0,danceability_speechiness_feat_999.0,length_speechiness_feat_3.0,length_speechiness_feat_5.0,length_speechiness_feat_999.0,instrumentalness_time_signature_feat_2.0,instrumentalness_time_signature_feat_3.0,instrumentalness_time_signature_feat_999.0,length_tempo_feat_2.0,length_tempo_feat_5.0,length_tempo_feat_999.0
0,218364,91,0.529,0.000307,0.6729999999999999,2.41e-06,0.093,-4.711,0.175,165.921,119,97.0,69021028.0,15,1,80.21428571428571,80.21428571428571,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,189893,90,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,168,87.0,12483569.0,7,3,77.33333333333333,78.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2,173986,86,0.792,0.007759999999999999,0.625,0.0018,0.329,-5.609,0.0536,103.967,2352,97.0,69021028.0,15,1,80.57142857142857,80.57142857142857,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
3,242965,85,0.8490000000000001,0.0635,0.424,0.0,0.0834,-9.579,0.324,145.887,406,97.0,69021028.0,15,7,80.64285714285714,76.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
4,198973,85,0.754,0.0332,0.449,8.290000000000001e-05,0.552,-9.211,0.109,77.169,1568,97.0,69021028.0,15,1,80.64285714285714,80.64285714285714,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5,192956,84,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.28600000000000003,136.006,588,97.0,69021028.0,15,1,80.71428571428571,80.71428571428571,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
6,298940,84,0.809,0.256,0.463,0.085,0.109,-11.377,0.0396,111.98,2036,97.0,69021028.0,15,1,80.71428571428571,80.71428571428571,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
7,291175,84,0.6659999999999999,0.0503,0.465,0.0,0.215,-8.545,0.26,167.937,406,97.0,69021028.0,15,7,80.71428571428571,76.16666666666667,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
8,220487,84,0.735,0.629,0.449,0.0,0.113,-7.5070000000000014,0.34700000000000003,122.947,896,97.0,69021028.0,15,1,80.71428571428571,80.71428571428571,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
9,178176,79,0.677,0.0668,0.495,0.0,0.319,-7.174,0.0821,129.974,49,78.0,8697921.0,11,6,72.4,75.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
10,178567,98,0.911,0.0901,0.7120000000000001,2.68e-05,0.0933,-5.105,0.0817,92.005,161,97.0,59468514.0,21,11,84.8,92.2,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
11,243716,98,0.65,0.0993,0.715,0.000291,0.126,-5.198,0.253,106.672,161,97.0,59468514.0,21,11,84.8,92.2,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
12,213061,96,0.8009999999999999,0.141,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,161,97.0,59468514.0,21,11,84.9,92.4,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
13,258298,95,0.647,0.08,0.6859999999999999,1.34e-06,0.528,-5.745,0.0413,79.928,161,97.0,59468514.0,21,11,84.95,92.5,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
14,245939,94,0.804,0.294,0.674,1.18e-06,0.115,-5.4529999999999985,0.0333,99.968,161,97.0,59468514.0,21,11,85.0,92.6,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
15,173119,94,0.8759999999999999,0.0706,0.498,0.0,0.14300000000000002,-7.511,0.0478,122.016,161,97.0,59468514.0,21,11,85.0,92.6,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
16,237894,92,0.795,0.0225,0.684,0.0,0.6579999999999999,-3.971,0.0419,114.011,161,97.0,59468514.0,21,11,85.1,92.8,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
17,227628,91,0.8290000000000001,0.0151,0.799,0.000543,0.242,-5.3889999999999985,0.0897,97.013,161,97.0,59468514.0,21,11,85.15,92.9,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
18,198367,91,0.6629999999999999,0.229,0.7859999999999999,0.0,0.219,-3.51,0.195,196.12,161,97.0,59468514.0,21,11,85.15,92.9,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
19,230400,89,0.564,0.35600000000000004,0.903,0.0,0.175,-3.221,0.307,78.293,161,97.0,59468514.0,21,11,85.25,93.1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
20,230746,89,0.807,0.0451,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,350,89.0,105322954.0,13,2,75.75,88.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
21,207853,88,0.7879999999999999,0.281,0.8590000000000001,0.0,0.0424,-2.724,0.0856,141.02,350,89.0,105322954.0,13,2,75.83333333333333,89.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
22,263400,87,0.599,0.163,0.448,0.0,0.106,-6.312,0.0232,95.05,2051,89.0,105322954.0,13,3,75.91666666666667,83.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
23,206070,82,0.7559999999999999,0.182,0.6970000000000001,0.0,0.333,-6.377000000000002,0.0401,94.996,190,80.0,28573844.0,6,2,74.4,74.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
24,233712,86,0.825,0.581,0.652,0.0,0.0931,-3.1830000000000003,0.0802,95.977,2051,89.0,105322954.0,13,3,76.0,84.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
25,258986,66,0.614,0.607,0.379,0.000464,0.0986,-10.48,0.0476,107.989,3573,89.0,105322954.0,13,2,77.66666666666667,66.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
26,209026,85,0.574,0.0529,0.852,0.0,0.161,-1.248,0.0397,123.038,15,89.0,105322954.0,13,1,76.08333333333333,76.08333333333333,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
27,281560,66,0.7809999999999999,0.474,0.445,0.0,0.184,-6.061,0.0295,78.998,3573,89.0,105322954.0,13,2,77.66666666666667,66.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
29,207520,81,0.522,0.536,0.385,0.0,0.135,-7.355,0.0288,89.792,2051,89.0,105322954.0,13,3,76.41666666666667,86.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
30,200040,91,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,938,93.0,52885058.0,8,2,88.14285714285714,90.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
31,241066,91,0.32299999999999995,0.142,0.737,0.000162,0.163,-4.008,0.0338,113.26,1659,93.0,52885058.0,8,2,88.14285714285714,90.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
32,230453,90,0.679,0.141,0.5870000000000001,6.35e-06,0.13699999999999998,-7.015,0.276,186.003,2149,93.0,52885058.0,8,2,88.28571428571429,87.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
33,228373,90,0.461,0.17,0.593,0.0,0.307,-4.954,0.0356,134.17,1659,93.0,52885058.0,8,2,88.28571428571429,91.0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
34,215626,90,0.68,0.0212,0.826,1.24e-05,0.5429999999999999,-5.487,0.0309,118.051,938,93.0,52885058.0,8,2,88.28571428571429,91.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
35,260253,87,0.586,0.111,0.525,0.0,0.134,-7.1629999999999985,0.0615,133.629,2150,93.0,52885058.0,8,2,88.71428571428571,90.0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
36,242253,88,0.585,0.0671,0.564,0.0,0.135,-7.063,0.0515,113.003,2604,93.0,52885058.0,8,1,88.57142857142857,88.57142857142857,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
38,191013,81,0.65,0.0215,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,938,93.0,52885058.0,8,1,89.57142857142857,89.57142857142857,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
39,186173,84,0.828,0.0164,0.621,0.00233,0.0845,-6.414,0.0565,128.986,476,86.0,23023983.0,10,6,82.66666666666667,83.6,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
40,236413,89,0.615,0.106,0.534,1.76e-05,0.0607,-6.7189999999999985,0.0386,135.917,1799,100.0,62572904.0,15,1,80.64285714285714,80.64285714285714,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
41,261922,87,0.532,0.5379999999999999,0.623,7.28e-05,0.0925,-9.208,0.0331,89.93700000000003,812,100.0,62572904.0,15,3,80.78571428571429,82.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
42,231826,77,0.753,0.085,0.6779999999999999,1.64e-06,0.13,-5.421,0.0644,96.006,2909,100.0,62572904.0,15,1,81.5,81.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
43,178426,86,0.552,0.117,0.7020000000000001,2.0600000000000006e-05,0.105,-5.707000000000002,0.157,169.99400000000003,1148,100.0,62572904.0,15,4,80.85714285714286,82.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44,221306,86,0.359,0.4920000000000001,0.5429999999999999,1.58e-05,0.118,-7.582000000000002,0.0919,68.53399999999999,1148,100.0,62572904.0,15,4,80.85714285714286,82.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
45,613026,85,0.631,0.274,0.518,0.0,0.08800000000000001,-8.771,0.0303,93.023,336,100.0,62572904.0,15,2,80.92857142857143,76.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
46,239560,83,0.613,0.537,0.581,0.00034500000000000004,0.25,-8.588,0.0424,130.033,812,100.0,62572904.0,15,3,81.07142857142857,84.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
47,222400,83,0.8109999999999999,0.0129,0.7190000000000001,1.36e-05,0.0742,-6.553,0.0497,103.979,1148,100.0,62572904.0,15,4,81.07142857142857,83.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
48,220433,83,0.583,0.0374,0.67,0.0001,0.126,-7.289,0.0646,140.061,392,100.0,62572904.0,15,1,81.07142857142857,81.07142857142857,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
49,243136,83,0.402,0.0033,0.732,0.0,0.108,-4.665,0.0484,161.032,553,100.0,62572904.0,15,1,81.07142857142857,81.07142857142857,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
50,141805,87,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,448,80.0,4090880.0,9,1,75.0,75.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
51,153190,89,0.601,0.185,0.741,2.9100000000000006e-05,0.415,-5.569,0.0478,153.96,574,89.0,67640519.0,9,5,79.875,77.75,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
52,198081,86,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,574,89.0,67640519.0,9,5,80.25,78.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
53,233720,85,0.609,0.835,0.378,0.0,0.28,-9.828,0.438,100.418,2527,89.0,67640519.0,9,3,80.375,80.5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
54,228482,84,0.597,0.223,0.45,0.0,0.382,-6.658,0.0418,178.765,889,88.0,85056061.0,8,1,82.42857142857143,82.42857142857143,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
55,214240,82,0.728,0.0401,0.8590000000000001,0.0,0.111,-5.237,0.13699999999999998,65.043,4669,89.0,67640519.0,9,1,80.75,80.75,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
