name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,track_id,genres
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,2022-06-17,218364,91,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4,3F5CgOj3wFlRv51JsHbxhe,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,189893,90,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4,59nOXPmaKlBfGMDeOVGrIK,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
One Dance,Views,Drake,2016-05-06,173986,86,0.792,0.00776,0.625,0.0018,0.329,-5.609,0.0536,103.967,4,1zi7xx7UVEFkmKfv06H8x0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,242965,85,0.849,0.0635,0.424,0.0,0.0834,-9.579,0.324,145.887,4,2BcMwX1MPV6ZHP4tUT9uq6,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
God's Plan,Scorpion,Drake,2018-06-29,198973,85,0.754,0.0332,0.449,8.29e-05,0.552,-9.211,0.109,77.169,4,6DCZcSspjsKoFjzjrWoCdn,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,192956,84,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4,65OVbaJR5O1RmwOQx0875b,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Passionfruit,More Life,Drake,2017-03-18,298940,84,0.809,0.256,0.463,0.085,0.109,-11.377,0.0396,111.98,4,5mCPDVBb16L4XQwDdbRUpz,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,291175,84,0.666,0.0503,0.465,0.0,0.215,-8.545,0.26,167.937,4,40iJIUlhi6renaREYGeIDS,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,2020-05-01,220487,84,0.735,0.629,0.449,0.0,0.113,-7.507,0.347,122.947,4,4wVOKKEHUJxHCFFNUWDn0B,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
STAYING ALIVE (feat. Drake & Lil Baby),GOD DID,DJ Khaled,2022-08-26,178176,79,0.677,0.0668,0.495,0.0,0.319,-7.174,0.0821,129.974,4,0g2Bbgy7P41pFjMWJuzsf4,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,178567,98,0.911,0.0901,0.712,2.68e-05,0.0933,-5.105,0.0817,92.005,4,6Sq7ltF9Qa7SNFBsV5Cogx,"['reggaeton', 'trap latino']"
Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,243716,98,0.65,0.0993,0.715,0.000291,0.126,-5.198,0.253,106.672,4,1IHWl5LamUGEuP4ozKQSXZ,"['reggaeton', 'trap latino']"
Efecto,Un Verano Sin Ti,Bad Bunny,2022-05-06,213061,96,0.801,0.141,0.475,1.73e-05,0.0639,-8.797,0.0516,98.047,4,5Eax0qFko2dh7Rl2lYs3bx,"['reggaeton', 'trap latino']"
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,2022-05-06,258298,95,0.647,0.08,0.686,1.34e-06,0.528,-5.745,0.0413,79.928,4,3k3NWokhRRkEPhCzPmV8TW,"['reggaeton', 'trap latino']"
Moscow Mule,Un Verano Sin Ti,Bad Bunny,2022-05-06,245939,94,0.804,0.294,0.674,1.18e-06,0.115,-5.453,0.0333,99.968,4,6Xom58OOXk2SoU711L2IXO,"['reggaeton', 'trap latino']"
Neverita,Un Verano Sin Ti,Bad Bunny,2022-05-06,173119,94,0.876,0.0706,0.498,0.0,0.143,-7.511,0.0478,122.016,4,31i56LZnwE6uSu3exoHjtB,"['reggaeton', 'trap latino']"
Tarot,Un Verano Sin Ti,Bad Bunny,2022-05-06,237894,92,0.795,0.0225,0.684,0.0,0.658,-3.971,0.0419,114.011,4,41oY4WCTj5kccfesTVFnvN,"['reggaeton', 'trap latino']"
Party,Un Verano Sin Ti,Bad Bunny,2022-05-06,227628,91,0.829,0.0151,0.799,0.000543,0.242,-5.389,0.0897,97.013,4,4tYFy8ALRjIZvnvSLw5lxN,"['reggaeton', 'trap latino']"
La Corriente,Un Verano Sin Ti,Bad Bunny,2022-05-06,198367,91,0.663,0.229,0.786,0.0,0.219,-3.51,0.195,196.12,4,1797zYiX4cKosMH836X9Gt,"['reggaeton', 'trap latino']"
Después de la Playa,Un Verano Sin Ti,Bad Bunny,2022-05-06,230400,89,0.564,0.356,0.903,0.0,0.175,-3.221,0.307,78.293,4,1dm6z1fWB0cErMszU25dy2,"['reggaeton', 'trap latino']"
Bad Habits,=,Ed Sheeran,2021-10-29,230746,89,0.807,0.0451,0.893,2.79e-05,0.366,-3.745,0.0347,126.011,4,3rmo8F54jFF8OgYsqTxm5d,"['pop', 'uk pop']"
Shivers,=,Ed Sheeran,2021-10-29,207853,88,0.788,0.281,0.859,0.0,0.0424,-2.724,0.0856,141.02,4,50nfwKoDiSYg8zOCREWAm5,"['pop', 'uk pop']"
Perfect,÷ (Deluxe),Ed Sheeran,2017-03-03,263400,87,0.599,0.163,0.448,0.0,0.106,-6.312,0.0232,95.05,3,0tgVpDi06FyKpA1z0VMD4v,"['pop', 'uk pop']"
Bam Bam (feat. Ed Sheeran),Familia,Camila Cabello,2022-04-07,206070,82,0.756,0.182,0.697,0.0,0.333,-6.377,0.0401,94.996,4,0QBzMgT7NIeoCYy3sJCof1,"['dance pop', 'pop', 'post-teen pop']"
Shape of You,÷ (Deluxe),Ed Sheeran,2017-03-03,233712,86,0.825,0.581,0.652,0.0,0.0931,-3.183,0.0802,95.977,4,7qiZfU4dY1lWllzX7mPBI3,"['pop', 'uk pop']"
Photograph,x (Wembley Edition),Ed Sheeran,2013,258986,66,0.614,0.607,0.379,0.000464,0.0986,-10.48,0.0476,107.989,4,1nmeUmSMNLoLDwDXtcezmD,"['pop', 'uk pop']"
Celestial,Celestial,Ed Sheeran,2022-09-29,209026,85,0.574,0.0529,0.852,0.0,0.161,-1.248,0.0397,123.038,4,4zrKN5Sv8JS5mqnbVcsul7,"['pop', 'uk pop']"
Thinking out Loud,x (Wembley Edition),Ed Sheeran,2013,281560,66,0.781,0.474,0.445,0.0,0.184,-6.061,0.0295,78.998,4,34gCuhDGsG4bRPIf9bb02f,"['pop', 'uk pop']"
For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,2022-07-07,159123,84,0.87,0.161,0.479,0.000157,0.209,-7.779,0.165,104.059,4,0HaRLPnr887lcQM2YQzkff,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']"
Happier,÷ (Deluxe),Ed Sheeran,2017-03-03,207520,81,0.522,0.536,0.385,0.0,0.135,-7.355,0.0288,89.792,4,4RVwu0g32PAqgUiJoXsdF8,"['pop', 'uk pop']"
